City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,0,tiksi,71.6872,128.8694,269.32,81,100,2.06,RU,1715487759
1,1,lazaro cardenas,17.9583,-102.2,296.55,81,61,1.05,MX,1715487765
2,2,hasaki,35.7333,140.8333,297.2,71,100,11.54,JP,1715487765
3,3,naze,28.3667,129.4833,298.66,76,70,4.76,JP,1715487766
4,4,ilanskiy,56.2358,96.065,284.91,53,100,6.11,RU,1715487767
5,5,port mathurin,-19.6833,63.4167,298.42,77,16,9.15,MU,1715487767
6,6,yellowknife,62.456,-114.3525,274.49,77,75,2.57,CA,1715487768
7,7,kyaikkami,16.08,97.5675,303.35,70,9,2.33,MM,1715487769
8,8,antsiranana,-12.2787,49.2917,299.57,73,75,7.2,MG,1715487769
9,9,korsakov,46.6328,142.7813,282.06,98,100,3.49,RU,1715487770
10,10,dudinka,69.4058,86.1778,270.19,97,99,2.68,RU,1715487770
11,11,puerto ayora,-0.7393,-90.3518,296.79,99,94,0.45,EC,1715487771
12,12,constantia,44.1833,28.65,287.53,77,15,4.67,RO,1715487772
13,13,papatowai,-46.5619,169.4708,284.46,84,79,4.95,NZ,1715487772
14,14,waitangi,-43.9535,-176.5597,283.61,88,98,4.47,NZ,1715487773
15,15,lannemezan,43.1252,0.384,284.53,95,71,1.4,FR,1715487773
16,16,hermanus,-34.4187,19.2345,281.37,79,6,3.74,ZA,1715487774
17,17,port-aux-francais,-49.35,70.2167,280.99,96,100,13.63,TF,1715487775
18,18,olovyannaya,50.95,115.5667,288.62,27,77,3.44,RU,1715487775
19,19,invercargill,-46.4,168.35,284.83,91,99,2.68,NZ,1715487776
20,20,road town,18.4167,-64.6167,300.15,79,45,4.12,VG,1715487776
21,21,anadyr,64.75,177.4833,272.43,74,100,2.0,RU,1715487777
22,22,rongelap,11.1635,166.8941,300.65,81,78,6.96,MH,1715487541
23,23,edinburgh of the seven seas,-37.0676,-12.3116,288.87,90,100,6.49,SH,1715487778
24,24,puerto natales,-51.7236,-72.4875,274.73,98,100,2.1,CL,1715487779
25,25,fale old settlement,-9.3852,-171.2468,302.35,74,79,5.1,TK,1715487779
26,26,micheweni,-4.9667,39.8333,299.08,79,65,5.5,TZ,1715487780
27,27,hamilton,39.1834,-84.5333,286.91,77,40,1.54,US,1715487684
28,28,chonchi,-42.6128,-73.8092,276.55,89,12,1.31,CL,1715487781
29,29,ambovombe,-25.1667,46.0833,292.88,77,0,2.31,MG,1715487781
30,30,nar'yan-mar,67.6713,53.087,269.32,94,98,5.36,RU,1715487527
31,31,yushu,44.8,126.5333,282.95,54,100,4.26,CN,1715487783
32,32,champerico,14.3,-91.9167,302.55,69,77,0.79,GT,1715487784
33,33,cidreira,-30.1811,-50.2056,293.35,94,100,5.47,BR,1715487537
34,34,west island,-12.1568,96.8225,303.14,79,40,7.2,CC,1715487785
35,35,ponta delgada,37.7333,-25.6667,291.59,94,75,1.54,PT,1715487786
36,36,zinjibar,13.1287,45.3807,303.31,74,13,3.9,YE,1715487786
37,37,berezovyy,51.6667,135.7,277.8,85,100,3.15,RU,1715487787
38,38,ushuaia,-54.8,-68.3,275.96,60,40,9.26,AR,1715487787
39,39,thompson,55.7435,-97.8558,280.06,69,74,4.51,CA,1715487788
40,40,petauke,-14.2426,31.3253,289.71,69,0,1.98,ZM,1715487788
41,41,tura,25.5198,90.2201,303.77,55,4,0.42,IN,1715487789
42,42,whitehorse,60.7161,-135.0538,280.94,34,75,7.2,CA,1715487790
43,43,marsh harbour,26.5412,-77.0636,298.99,83,0,4.18,BS,1715487790
44,44,ribeira grande,38.5167,-28.7,291.36,96,14,2.68,PT,1715487791
45,45,klyuchi,52.2667,79.1667,289.21,26,0,2.17,RU,1715487791
46,46,iqaluit,63.7506,-68.5145,267.0,79,75,10.29,CA,1715487792
47,47,christchurch,-43.5333,172.6333,288.38,56,0,1.54,NZ,1715487493
48,48,cabo san lucas,22.8909,-109.9124,299.05,59,76,5.97,MX,1715487793
49,49,langsa,4.4683,97.9683,297.67,99,100,1.29,ID,1715487794
50,50,sungai raya,0.7,108.9,304.86,59,26,1.61,ID,1715487794
51,51,albany,42.6001,-73.9662,285.38,71,100,3.29,US,1715487563
52,52,kodiak,57.79,-152.4072,279.88,76,75,3.6,US,1715487795
53,53,blackmans bay,-43.0167,147.3167,289.11,70,17,0.89,AU,1715487796
54,54,stanley,54.868,-1.6985,282.16,90,100,1.54,GB,1715487796
55,55,taoudenni,22.6783,-3.9836,303.75,9,81,2.96,ML,1715487797
